x,y,fz,s0,s1,s2,s3
0.2,0.0,0.5458908081054688,0.0240656553286687,0.0302509147370781,0.0095924237720335,0.0036718662190771
0.35,0.35,0.943964958190918,0.0364091511784323,0.0529169344697471,0.0120219327873959,0.0177941686259276
0.0,0.0,0.934584617614746,0.0462374121502816,0.0682510747211236,0.0152855391001256,0.0087131108352351
0.0,0.0,1.949867248535156,0.1197679515311364,0.2176916311647229,0.0230689821189715,0.0818338496254025
0.5,0.0,0.9637012481689452,0.037498738248493,0.0488896621622051,0.0027375363887553,0.010702171060275
1.0,0.0,5.2104082107543945,0.0577568791686462,0.1013070007516819,-0.0422534840834212,0.0479257619261767
0.0,-0.35,3.1449480056762695,0.080874360983678,0.2355952345932961,-0.0617704828222379,0.0792798032600095
0.85,-0.85,3.8653440475463863,0.0744582710660898,0.0741597535188919,0.0167966320429312,0.026963629826678
-0.5,-0.5,2.4432897567749023,0.1822951581106445,0.1755098364325051,0.0207189197586215,0.019851634390061
-0.2,-0.2,0.9277276992797852,0.044950515048311,0.0620768295741704,0.0142925390656733,0.0054139454992278
0.2,0.0,0.9896640777587892,0.0464438628461718,0.0651869316765485,0.0104128448129258,0.0102607678144391
0.0,1.0,1.8389692306518557,0.0375357984808854,0.1133041433859597,0.0276820571844214,0.0222455173624077
0.0,1.0,2.6118392944335938,0.0410326750303001,0.1821792032278952,0.0362161609264835,0.0491863890871296
0.0,-1.0,3.4941673278808594,0.1231929796480888,0.11963517140361,-0.0612229471852005,0.0108955872197289
0.85,-0.85,1.1502323150634766,0.0219917537675772,0.0227074616470206,-0.0003555364451808,0.0022901719398516
0.0,1.0,1.055196762084961,0.0262977573429262,0.0503762423230746,0.0185299213177411,0.0079057690823237
-0.85,0.85,4.183399200439453,0.0816611732269545,0.4224970228216864,0.0285759193861533,0.0378171848842961
0.65,0.0,2.792421340942383,0.0733159526211433,0.1226031404780687,-0.0018522810826206,0.0499371670119899
0.0,0.85,2.3030500411987305,0.0498527933843949,0.2195319282110718,0.034482832546457,0.0810308474413551
-0.85,-0.85,0.642674446105957,0.024516578870479,0.0181334785309825,0.0027091365584853,-0.0001798788303459
0.0,-0.85,3.0427112579345703,0.1310888407050413,0.1564256652270058,-0.0453967460350584,0.0320815728940359
