x,y,fz,s0,s1,s2,s3
0.0,0.0,0.45657157897949213,0.02143533413109444,0.026493865347381674,0.00935114707525858,0.0016230587048580536
0.0,0.0,0.4658107757568359,0.021533963759165102,0.02789673671882791,0.009469905829073052,0.002146206650711916
0.0,-0.2,0.4904403686523437,0.02256730305526103,0.02767431267686905,0.008712368924841058,0.002474745445073743
0.0,-0.2,0.5004558563232422,0.02250734520333948,0.027702673375795107,0.00891390768337136,0.0021782294239329307
0.2,-0.2,0.5136852264404297,0.022316767155497838,0.0265411407554881,0.008247253105043314,0.002827461415036502
0.2,-0.2,0.524749755859375,0.022807664673365285,0.027534227692777448,0.00839957345704919,0.003239729172097709
0.2,0.0,0.5458908081054688,0.02406565532866871,0.030250914737078125,0.009592423772033587,0.0036718662190771477
0.2,0.0,0.5616970062255859,0.024064582479141595,0.030914447598172298,0.009312457960948355,0.003819295419109282
0.2,0.2,0.5379762649536133,0.022457100512917848,0.03069246591429244,0.010137208491056175,0.004845810197583159
0.2,0.2,0.5492782592773438,0.023365954010540917,0.03187467086328457,0.01073268049208646,0.005604084202709105
0.0,0.2,0.4967079162597656,0.021262895044383678,0.029951776366091126,0.010561737700860592,0.0033202394652918597
0.0,0.2,0.4749603271484375,0.020869255336534186,0.0290013449450737,0.009983297941474014,0.0026783553950436973
-0.2,0.2,0.5132160186767578,0.022269980582511627,0.032175806339169416,0.010773660757588796,0.0016906401951523025
-0.2,0.2,0.5143775939941406,0.021671791747631623,0.031612102713587074,0.010478110465974546,0.0015006981938366739
-0.2,0.0,0.5209007263183594,0.02348988877413417,0.031713640489046076,0.01010154500826184,0.001691541479562442
-0.2,0.0,0.5203580856323242,0.023788904256287723,0.03217452364319885,0.010160870859847208,0.001571356830072587
-0.2,-0.2,0.5445261001586914,0.024499359068311008,0.030846481380114935,0.009127068298562732,0.001957075245723605
-0.2,-0.2,0.5478944778442383,0.024286457962391355,0.030917602159788924,0.00921840011400873,0.0017854378014307032
